time,type,x,y
2025-07-08 16:42:46, realtime,387.68,264.32
2025-07-08 16:42:46, realtime,387.68,264.32
2025-07-08 16:42:47, predict,387.68,264.32
2025-07-08 16:42:48, predict,369.12,264.65
2025-07-08 16:42:49, predict,22.50,286.84
2025-07-08 16:42:50, realtime,387.90,264.88
2025-07-08 16:42:50, realtime,387.90,264.88
2025-07-08 16:42:50, realtime,387.90,264.88
2025-07-08 16:42:50, realtime,387.90,264.88
2025-07-08 16:42:50, realtime,387.90,264.88
2025-07-08 16:42:50, predict,387.90,264.88
2025-07-08 16:42:51, predict,369.25,264.63
2025-07-08 16:42:52, predict,20.86,287.47
2025-07-08 16:42:53, realtime,388.02,264.80
2025-07-08 16:42:53, realtime,388.02,264.80
2025-07-08 16:42:53, realtime,388.02,264.80
2025-07-08 16:42:53, realtime,388.02,264.80
2025-07-08 16:42:53, realtime,388.02,264.80
2025-07-08 16:42:53, predict,388.02,264.80
2025-07-08 16:42:54, predict,369.38,264.71
2025-07-08 16:42:56, realtime,388.06,264.97
2025-07-08 16:42:56, realtime,388.06,264.97
2025-07-08 16:42:56, realtime,388.06,264.97
2025-07-08 16:42:56, realtime,388.06,264.97
2025-07-08 16:42:56, realtime,388.06,264.97
2025-07-08 16:42:57, predict,388.06,264.97
2025-07-08 16:42:58, predict,369.53,265.00
2025-07-08 16:43:00, realtime,388.30,264.34
2025-07-08 16:43:00, realtime,388.30,264.34
2025-07-08 16:43:00, realtime,388.30,264.34
2025-07-08 16:43:00, realtime,388.30,264.34
2025-07-08 16:43:00, realtime,388.30,264.34
2025-07-08 16:43:00, predict,388.30,264.34
2025-07-08 16:43:01, predict,369.73,264.84
2025-07-08 16:43:03, realtime,388.39,263.96
2025-07-08 16:43:03, realtime,388.39,263.96
2025-07-08 16:43:03, realtime,388.39,263.96
2025-07-08 16:43:03, realtime,388.39,263.96
2025-07-08 16:43:03, realtime,388.39,263.96
2025-07-08 16:43:07, realtime,388.56,263.75
2025-07-08 16:43:07, realtime,388.56,263.75
2025-07-08 16:43:07, realtime,388.56,263.75
2025-07-08 16:43:07, realtime,388.56,263.75
2025-07-08 16:43:07, realtime,388.56,263.75
2025-07-08 16:43:07, predict,388.56,263.75
2025-07-08 16:43:10, realtime,389.06,263.33
2025-07-08 16:43:10, realtime,389.06,263.33
2025-07-08 16:43:10, realtime,389.06,263.33
2025-07-08 16:43:10, realtime,389.06,263.33
2025-07-08 16:43:10, realtime,389.06,263.33
2025-07-08 16:43:14, realtime,389.66,262.82
2025-07-08 16:43:14, realtime,389.66,262.82
2025-07-08 16:43:14, realtime,389.66,262.82
2025-07-08 16:43:14, realtime,389.66,262.82
2025-07-08 16:43:14, realtime,389.66,262.82
2025-07-08 16:43:18, realtime,389.65,262.79
2025-07-08 16:43:18, realtime,389.65,262.79
2025-07-08 16:43:18, realtime,389.65,262.79
2025-07-08 16:43:18, realtime,389.65,262.79
2025-07-08 16:43:18, realtime,389.65,262.79
2025-07-08 16:43:21, realtime,389.74,262.92
2025-07-08 16:43:21, realtime,389.74,262.92
2025-07-08 16:43:21, realtime,389.74,262.92
2025-07-08 16:43:21, realtime,389.74,262.92
2025-07-08 16:43:21, realtime,389.74,262.92
2025-07-08 16:43:22, predict,389.74,262.92
2025-07-08 16:43:23, predict,369.71,263.50
2025-07-08 16:43:24, realtime,389.67,262.93
2025-07-08 16:43:24, realtime,389.67,262.93
2025-07-08 16:43:24, realtime,389.67,262.93
2025-07-08 16:43:24, realtime,389.67,262.93
2025-07-08 16:43:24, realtime,389.67,262.93
2025-07-08 16:43:27, realtime,390.15,263.18
2025-07-08 16:43:27, realtime,390.15,263.18
2025-07-08 16:43:27, realtime,390.15,263.18
2025-07-08 16:43:27, realtime,390.15,263.18
2025-07-08 16:43:27, realtime,390.15,263.18
2025-07-08 16:43:27, predict,390.15,263.18
2025-07-08 16:43:28, predict,370.02,263.76
2025-07-08 16:43:29, realtime,390.47,263.26
